title,content
Pakistan,"Pakistan is a country located in South Asia. It shares borders with India, Afghanistan, Iran, and China. The Arabian Sea lies to the south."
Capital,"The capital city of Pakistan is Islamabad. Islamabad is known for the Faisal Mosque, Margalla Hills, and its planned city layout."
Largest City,"Karachi is the largest city of Pakistan and an important center for business, trade, industry, and finance."
National Language,"Urdu is the national language of Pakistan. English is also widely used in government, education, business, and law."
Provinces,"Pakistan has four provinces: Punjab, Sindh, Khyber Pakhtunkhwa, and Balochistan. It also has other administrative territories."
Punjab,"Punjab is one of the provinces of Pakistan. Lahore is the capital of Punjab and is famous for its history, culture, food, and architecture."
Sindh,"Sindh is a province in southeastern Pakistan. Karachi is the capital of Sindh and is the country's largest city."
Khyber Pakhtunkhwa,"Khyber Pakhtunkhwa is a province in northwestern Pakistan. Peshawar is its capital."
Balochistan,"Balochistan is the largest province of Pakistan by area. Quetta is its capital."
Independence,"Pakistan became independent on 14 August 1947. The country was created as a separate homeland for Muslims of British India."
Founder,"Muhammad Ali Jinnah is widely regarded as the founder of Pakistan and is known as Quaid-e-Azam."
National Poet,"Allama Muhammad Iqbal is regarded as the national poet of Pakistan. He played an important intellectual role in the idea of a separate homeland for Muslims."
Currency,"The official currency of Pakistan is the Pakistani Rupee, commonly abbreviated as PKR."
National Animal,"The markhor is the national animal of Pakistan."
National Bird,"The chukar partridge is the national bird of Pakistan."
National Flower,"The jasmine is the national flower of Pakistan."
National Sport,"Field hockey is traditionally recognized as the national sport of Pakistan."
Mountains,"K2 is located in the Karakoram range in Pakistan and is the second-highest mountain in the world."
Rivers,"The Indus River is one of the most important rivers in Pakistan. It supports agriculture, water supply, and many communities."
Agriculture,"Agriculture is an important sector of Pakistan's economy. Major crops include wheat, rice, cotton, sugarcane, and maize."
Economy,"Pakistan has a diverse economy that includes agriculture, manufacturing, services, trade, technology, and telecommunications."
